"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
119020-00,"2022/04/08 22:00:00","2100W AC Common Redundant Power Supply FCXX2100CRPS, PCN 119020-00, Product Design, Label, Addition of UKCA Certificate logo to PSU label and FW revision","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118011-01,"2022/04/08 22:00:00","Select Intel(R) Optane¬ Persistent Memory Modules, PCN 118011-01, Product Design, Product Material, Adding Alternate DQ Buffer Vendor, Reason for Revision: BIOS hotfix MRC is required for alternate vendor","Product Design","Material, Method","Flash Memory Products","Flash Memory Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119000-00,"2022/04/07 22:00:00","Select Intel(R) SSD D3-S4620 Series and Intel(R) SSD D3-S4520 Series, PCN 119000-00, Product Material, Adding 2nd source component","Product Material",Material,"Flash Memory Products","Flash Memory Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119013-00,"2022/04/07 22:00:00","Min-SAS HD, I2C, backplane power cable MYP1UCBL, 
1U Power distribution Board MYP1UPDB, 
1U PCIe x16 Riser Card MYP1URISER, and
Intel(R) Server System M20MYP1UR, PCN 119013-00, Product Discontinuance, End of life","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119010-00,"2022/04/06 22:00:00","Select Intel(R) Ethernet Network Adapter, PCN 119010-00, Product Discontinuance, End of Life","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119018-00,"2022/04/06 22:00:00","Intel(R) Server Board M10JNP2SB, PCN 119018-00, Product Design, BIOS Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119012-00,"2022/04/06 22:00:00","Select Intel(R) Ethernet Network Adapters: 
OCP 3.0 X710-T2L, OCP 3.0 X710-T4L, X710-T4L, X710-T2L, and E810-XXVDA4, PCN 119012-00, Label, OUI Update",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118970-01,"2022/04/04 22:00:00","Intel(R) RAID Bridge Board AHWBPBGB24R, PCN 118970-01, Product Design, Second source for Retimer Integrated Circuit (IC) component, Reason for Revision: Adding item to Description of Change and Mileston Date Change","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119007-00,"2022/04/04 22:00:00","4-Port PCIe Gen3 x16 Retimer AIC AXXP3RTX16040, PCN 119007-00, Product Design, Firmware Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118994-00,"2022/03/31 22:00:00","Intel(R) Pentium(R) Silver Processor Series, 
Intel(R) Celeron(R) Processor J Series and
Intel(R) Celeron(R) Processor N Series
, PCN 118994-00, Product Material, Manufacturing switching to EPID keys belonging to new EPID group key","Product Material",Material,"Desktop Processors, Mobile Processors","Desktop Processors, Mobile Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118988-00,"2022/03/30 22:00:00","Intel(R) Server System R2312WFTZSR 
, PCN 118988-00, Product Material, New Alternate Hot Swap Backplane","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
119005-00,"2022/03/30 22:00:00","Intel(R) Server System R2208WFTZSR
Intel(R) Server System R2308WFTZSR, PCN 119005-00, Product Material, New Server Board as alternate","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118978-00,"2022/03/30 22:00:00","Select Intel(R) SSD DC D4512 Series, PCN 118978-00, Product Discontinuance, End Of Life","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
119001-00,"2022/03/29 22:00:00","Intel(R) Server System D50TNP1MHCRAC Compute Module, PCN 119001-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory and Internal USB Connector Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
119003-00,"2022/03/29 22:00:00","Intel(R) Server Board D50TNP1SBCR, PCN 119003-00, Product Design, BIOS/BMC/ME/FRUSDR Firmware Update in Factory, and Internal USB Connector Update","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118987-00,"2022/03/28 22:00:00","Intel(R) SSD D5-P4326 Series (15.3TB, 2.5in PCIe 3.1 x4, 3D2, QLC), PCN 118987-00, Product Discontinuance, Product End of Life","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118989-00,"2022/03/28 22:00:00","Select Boxed Intel(R) Core¬ i9-12900F Processors, Boxed Intel(R) Core¬ i9-12900 Processors, PCN 118989-00, Product Design, CPU Mounting Hardware Update","Product Design","Material, Method","Desktop Processors","Desktop Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118993-00,"2022/03/28 22:00:00","Intel(R) Server System R2208WFQZSR, PCN 118993-00, Product Material, Product Design, New Alternate Hot Swap Backplane and Gasket implementation in 2.5"" tool less carrier","Product Material",Material,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118995-00,"2022/03/25 22:00:00","Intel(R) Server System R1208WFTZSR, 
Intel(R) Server System R2308WFTZSR, and 
Intel(R) Server System R1304WFTYSR, PCN 118995-00, Product Material, New Server Board as alternate","Product Material",Material,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118942-01,"2022/03/24 22:00:00","2U Fan Kit KLP2UFAN, 
2000W AC Common Redundant Power Supply KLP2000CRPS, 
Intel(R) Server System M70KLP4S2UHH
, PCN 118942-01, Product Discontinuance, End of Life, Reason for Revision: Removing the Recommended Replacement column from the Product Affected","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118991-00,"2022/03/24 22:00:00","Intel(R) Server System R2208WFTZSR, PCN 118991-00, Product Material, New Alternate Hot Swap Backplane","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118984-00,"2022/03/24 22:00:00","Select Intel(R) SSD DC P4511 Series SKUs, PCN 118984-00, Product Discontinuance, End of Life","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Customers to place future orders using new order code, see details in PCN."
118979-00,"2022/03/24 22:00:00","Intel(R) Server System R1208WF0ZSR 
Intel(R) Server System R1208WFQZSR 
Intel(R) Server System R1208WFTZSR 
, PCN 118979-00, Product Material, New Hot Swap Back Plane as alternate","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118992-00,"2022/03/23 22:00:00","Intel(R) Server System R2208WFTZSR, PCN 118992-00, Product Design, Product Material, Adding Second Source Component Updates","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118983-00,"2022/03/22 22:00:00","Intel(R) Server System R1208WFTZSR, PCN 118983-00, Product Design, Product Material, Adding Second Source Component Updates","Product Design","Material, Method","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118982-00,"2022/03/22 22:00:00","Intel(R) Server System R1208WFQYSR and 
Intel(R) Server System R1208WF0YSR, PCN 118982-00, Product Material, Product Design, Adding second source for Voltage Regulator Controller, Alternate PBA to support Interposer and Gasket implementation in 2.5"" tool","Product Material",Material,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118904-01,"2022/03/21 22:01:00","Select Intel(R) Ethernet QSFP+ SR Optics, 
Intel(R) Ethernet Converged Network Adapter XL710,
, PCN 118904-01, Product Material, Label, Part number change on label, Reason for Revision: Add clarification to change description","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118971-00,"2022/03/18 22:01:00","Intel(R) Core¬ i3-5005U Processor, PCN 118971-00, Product Discontinuance, End of Life","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118980-00,"2022/03/18 22:01:00","Select Bulk EVO Intel(R) NUC M15 Laptop, 
Bulk Intel(R) NUC M15 Laptop Kit,, PCN 118980-00, Product Design, Documentation, Label, Update BIOS, Embedded Controller Firmware, Keyboard, Labels, User Guide, L10 Image and Packaging Sleeve","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Connected Home","Connected Home, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118976-00,"2022/03/17 22:01:00","Chassis Power Distribution Board Assembly Spare Kit FCXXPDBASSMBL, PCN 118976-00, Label, Addition of UKCA logo to SN label",Label,"Machine, Material","Server Boards and Platforms","Server Boards and Platforms, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118973-00,"2022/03/16 22:01:00","Select Intel(R) NUC 7 Essential Mini PCs and 
Boxed Intel(R) NUC Kits
, PCN 118973-00, Product Design, BIOS Update and OS Image Upgrade","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118962-00,"2022/03/15 22:01:00","Trusted Platform Module 2.0 AXXTPMCHNE8, Single, PCN 118962-00, Product Design, Firmware update","Product Design","Material, Method","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118972-00,"2022/03/15 22:01:00","Intel(R) Server System R1304WFTZSR,
Intel(R) Server System R2312WF0NPR, PCN 118972-00, Product Material, New Server Board as alternate","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118956-00,"2022/03/15 22:01:00","Intel(R) Server System M50CYP1UR212, PCN 118956-00, Product Design, Label, Move S5.2 DIP Swith status to OFF and update UKCA logo","Product Design","Material, Method","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118957-00,"2022/03/15 22:01:00","Intel(R) FPGA PAC N3000, PAC D5005 & PAC with Intel(R) Arria(R) 10 GX FPGA acceleration cards, PCN 118957-00, Product Discontinuance, End of Life","Product Discontinuance",,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118969-00,"2022/03/14 22:01:00","Select Intel(R) Wireless-AC 9462, 
Intel(R) Wireless-AC 9461
, PCN 118969-00, Product Design, Label, Label and product design update","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118936-00,"2022/03/11 22:00:00","Intel(R) Server System R2208WF0ZSR, PCN 118936-00, Product Material, Materials second source","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118947-00,"2022/03/11 22:00:00","Select Intel(R) Wireless-AC 9560, 2230, SKUS, PCN 118947-00, Product Design, Label, HW bitmap and label updates","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118958-00,"2022/03/11 22:00:00","Select Intel(R) Wireless-AC 9462 and Intel(R) Wireless-AC9461, PCN 118958-00, Product Design, Label, OTP updates","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118968-00,"2022/03/11 22:00:00","Intel(R) Wireless-AC 9560, 1216, 2x2 AC+BT, No vPro(R)
Intel(R) Wireless-AC 9560, 1216, 2x2 AC+BT, Gigabit, No vPro(R)
Intel(R) Wireless-AC 9560, 1216, 2x2 AC+BT, Gigabit, vPro(R),
, PCN 118968-00, Product Design, Label, Label and product design update","Product Design","Material, Method","Networking Products, Wireless Products","Networking Products, Wireless Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118943-00,"2022/03/10 22:00:00","Intel(R) Server System R1208WFTYSR, PCN 118943-00, Product Design, Product Material, Adding Second Source Voltage Regulator Update","Product Design","Material, Method","Server Chassis, Server Processors","Server Chassis, Server Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118951-00,"2022/03/10 22:00:00","Select Intel(R) NUC 11 Pro Kit NUC11TNKv50Z 
Intel(R) NUC 11 Pro Kit NUC11TNHi70Z 
Intel(R) NUC 11 Pro Kit NUC11TNKi70Z 
Intel(R) NUC 11 Pro Kit NUC11TNHi50Z 
Intel(R) NUC 11 Pro Kit NUC11TNKi50Z 
Intel(R) NUC 11 Pro Kit NUC11TNHi30Z 
Intel(R) NUC 11 Pro","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118946-00,"2022/03/09 22:00:00","Intel(R) NUC Pro Assembly Element CMA1BB, 5 pack
Intel(R) NUC Pro Board Element CMB1BB, 5 pack,, PCN 118946-00, Documentation, Firmware update and regulatory updates",Documentation,,"Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
118945-00,"2022/03/08 22:00:00","Select Intel(R) NUC 11 Pro Kit NUC11TNKv50Z
Intel(R) NUC 11 Pro Kit NUC11TNHi70Z, 
Intel(R) NUC 11 Pro Kit NUC11TNHi70Z, 
Intel(R) NUC 11 Pro Kit NUC11TNHi50Z, 
Intel(R) NUC 11 Pro Kit NUC11TNHi30Z, 
Intel(R) NUC 11 Pro Board NUC11TNBi70Z, 
Intel(R) NUC 1","Product Design","Material, Method","Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118938-00,"2022/03/08 22:00:00","Select Intel(R) FPGA IP, PCN 118938-00, Product Discontinuance, End of Life","Product Discontinuance",,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Product Discontinuance, Intel anticipates no impact to customers, see PCN detail for further information."
118940-00,"2022/03/07 22:00:00","Select Intel(R) NUC 11 Pro Kits and Boards, PCN 118940-00, Product Design, FAB Spin and Bios Update","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118934-00,"2022/03/07 22:00:00","Select Intel(R) Celeron(R) Processor 5000 Series
10th Generation Intel(R) Core¬ i5 Processors
10th Generation Intel(R) Core¬ i7 Processors
, PCN 118934-00, Product Discontinuance, End of life","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118935-00,"2022/03/07 22:00:00","Select Intel(R) Pentium(R) Gold Processor Series
10th Generation Intel(R) Core¬ i3 Processors
10th Generation Intel(R) Core¬ i5 Processors
10th Generation Intel(R) Core¬ i7 Processors, PCN 118935-00, Product Discontinuance, End of Life","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118933-00,"2022/03/04 22:00:00","Intel(R) NUC X15 Laptop Kit, BKC71FBFB6000, w/Intel(R) Core¬ i7
Intel(R) NUC X15 Laptop Kit, BKC71FBFU6000, w/Intel(R) Core¬ i7
Intel(R) NUC X15 Laptop Kit, BKC71FBGN6002, w/Intel(R) Core¬ i7
Intel(R) NUC X15 Laptop Kit, BKC71FBGB6000, w/Intel(R) Core¬ i7","Product Design","Material, Method","Desktop Boards, Consumer Electronics, Compute Module","Compute Module, Consumer Electronics, Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118928-00,"2022/03/04 22:00:00","Intel(R) Ethernet Converged Network Adapter X520-SR2, Intel(R) Ethernet Converged Network Adapter X520-DA2 and Intel(R) Ethernet Server Adapter X520-DA2, PCN 118928-00, Transport Media, Clamshell update","Transport Media",Material,"Networking Products","Networking Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
118913-00,"2022/03/04 22:00:00","MINOR CHANGE, Select Intel(R) Xeon(R) Platinum and Intel(R) Xeon(R) Gold Processors, PCN 118913-00, Manufacturing Site, Label, Add second site for Assembly, Test and Finish Manufacturing","Manufacturing Site","Machine, Man","Server Processors","Server Processors, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
118931-00,"2022/03/03 22:00:00","Intel(R) Server Board S2600WFQR, PCN 118931-00, Product Material, Over Current Protection (OCP) Integrated Circuit (IC) second source","Product Material",Material,"Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118930-00,"2022/03/02 22:00:00","Intel(R) Server System D50TNP1MHCRAC Compute Module, PCN 118930-00, Product Design, Power Supply Firmware update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118921-00,"2022/03/01 22:00:00","Select 8x2.5 inch Hot Swap SAS/NVMe COMBO Drive Bay Kit AUP8X25S3NVDK, Single,, PCN 118921-00, Product Design, Gasket implementation on 2.5"" tool less carrier","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118915-00,"2022/02/28 22:00:00","Select Intel(R) Ethernet Converged Network Adapter X550-T1, and Intel(R) Ethernet Converged Network Adapter X550-T2, PCN 118915-00, Transport Media, Clamshell Packaging Update","Transport Media",Material,"Networking Products","Networking Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
118929-00,"2022/02/28 22:00:00","All SoC FPGA devices, PCN 118929-00, Documentation, Pin Connection Guidelines (PCG) Updates",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
118923-00,"2022/02/28 22:00:00","Select Intel(R) Ethernet Network Adapters, PCN 118923-00, Transport Media, Clamshell Update","Transport Media",Material,"Networking Products","Networking Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
118908-00,"2022/02/25 22:00:00","1U 8x2.5 inch SAS/NVMe Hot Swap Backplane F1U8X25S3PHS, Single, 2U 12x3.5inch SAS and 2x NVMe Hot Swap Backplane F2U12X35S3PH, Single, 2U Hot-swap 8x2.5inch SAS/NVMe Combo Drive Bay Kit A2U8X25S3PHS, Single, PCN 118908-00, Product Material, New Alternate","Product Material",Material,"Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118911-00,"2022/02/25 22:00:00","Intel(R) Server System R2312WF0NPR, Single, PCN 118911-00, Product Material, Add second source for Voltage Regulator on Hot Swap Backplane","Product Material",Material,"Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118902-00,"2022/02/25 22:00:00","Intel(R) vRAN Accelerator ACC100 Adapter, PCN 118902-00, Product Material, Order Code, Maclaren Summit Mt. Bryce silicon change","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118907-00,"2022/02/25 22:00:00","Intel(R) Server System R1208WFTYSR, PCN 118907-00, Product Material, New Alternate Hot Swap Backplane","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118926-00,"2022/02/25 22:00:00","Intel(R) Ethernet Network Adapter OCP E810-CQDA1, OEM Gen, PCN 118926-00, Product Discontinuance, End of Life","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Intel anticipates no impact to customers, see PCN detail for further information."
118920-00,"2022/02/24 22:00:00","Select Intel(R) Ethernet Network Adapter I225-T1,
Intel(R) Ethernet Network Adapter I225-T1,
Intel(R) Ethernet Server Adapter I210-T1,
Intel(R) Gigabit CT2 Desktop Adapter and
Intel(R) Gigabit CT Desktop Adapter, PCN 118920-00, Transport Media, Clamshell","Transport Media",Material,"Networking Products","Networking Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
118909-00,"2022/02/22 22:00:00","Select Intel(R) Arria(R) 10 devices, PCN 118909-00, Documentation, Datasheet Update",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
118910-00,"2022/02/22 22:00:00","Select Intel(R) Cyclone(R) 10 GX devices, PCN 118910-00, Documentation, Datasheet Update",Documentation,,"FPGA (Field-Programmable Gate Array)","FPGA (Field-Programmable Gate Array), Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
118906-00,"2022/02/17 22:00:00","Intel(R) Server Chassis FC2HAC21W3, PCN 118906-00, Product Design, Label, Power Supply Firmware update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118900-01,"2022/02/17 22:00:00","Intel(R) Optane¬ Persistent Memory 200 Series, PCN 118900-01, Product Design, Adding alternate source for Oscillator, Reason for Revision: Incorrect change in PCN Title; updating title from ""Adding Voltage Regulator"" to ""Adding alternate source for Oscill","Product Design","Material, Method","Flash Memory Products","Flash Memory Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118899-00,"2022/02/16 22:00:00","Intel(R) Ethernet QSFP+ LR Optics, PCN 118899-00, Product Material, Label, Part number change on label","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118864-01,"2022/02/15 22:00:00","Intel(R) Server Board S2600STQR, Single, PCN 118864-01, Product Design, Product Material, Voltage Regulator Firmware Update, IC Switch Alternative, Reason for Revision: Update TA# and PBA#","Product Design","Material, Method","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118898-00,"2022/02/11 22:00:00","Intel(R) Server System S9248WK2HAC Compute Module, PCN 118898-00, Product Design, Label, UKCA and Canada labeling update and Gasket implementation on 2.5"" tool","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118659-01,"2022/02/11 22:00:00","Select Intel(R) Ethernet Network Adapter OCP3.0 I350-T4, OEM Gen,, PCN 118659-01, Product Design, Label, Label and Internal Lock Faceplate Update, Reason for Revision: Supplier Driven Material depletion","Product Design","Material, Method","Networking Products","Networking Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
118894-00,"2022/02/11 22:00:00","Select Intel(R) Core¬ i5-4300U Processor, 
Intel(R) Celeron(R) Processor 2980U, 
Intel(R) Core¬ i3-4010U Processor and 
Intel(R) Core¬ i7-4650U Processor, PCN 118894-00, Product Discontinuance, Manufacturing End of Life","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118897-00,"2022/02/10 22:00:00","Select Boxed Intel(R) Xeon(R) Processors, PCN 118897-00, Product Material, Thermal Solution Update","Product Material",Material,"Desktop Processors, Server Processors","Desktop Processors, Server Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118895-00,"2022/02/09 22:00:00","Select Intel Atom(R) Processors E3 Series and
Intel(R) Celeron(R) Processors, PCN 118895-00, Product Material, Manufacturing switching to EPID keys belonging to new EPID group key","Product Material",Material,"Desktop Processors, Embedded Processors, Mobile Processors, Automotive","Automotive, Desktop Processors, Embedded Processors, Mobile Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118889-00,"2022/02/04 22:00:00","Select Intel(R) Celeron(R) Processors, 
Intel(R) Core¬ i3 Processors, 
Intel(R) Core¬ i5 Processors and 
Intel(R) Core¬ i7 Processors
, PCN 118889-00, Product Discontinuance, Manufacturing Product End of Life","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118888-00,"2022/02/04 22:00:00","Select Intel(R) Xeon(R) Processors, 
Intel(R) Celeron(R) Processors, 
Intel(R) Core¬ i3 Processors, 
Intel(R) Core¬ i5 Processors and 
Intel(R) Core¬ i7 Processors
, PCN 118888-00, Product Discontinuance, Manufacturing Product End of Life","Product Discontinuance",,"Embedded Processors, Mobile Processors","Embedded Processors, Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
118891-00,"2022/02/03 22:00:00","Select Intel(R) Ethernet Converged Network Adapter X540-T2,, PCN 118891-00, Product Material, Silicon Controller Change","Product Material",Material,"Networking Products","Networking Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118893-00,"2022/02/03 22:00:00","2U 12x3.5inch SAS and 2x NVMe Hot Swap Backplane F2U12X35S3PH, 
1U 8x2.5 inch SAS/NVMe Hot Swap Backplane F1U8X25S3PHS, 
2U Hot-swap 8x2.5inch SAS/NVMe Combo Drive Bay Kit A2U8X25S3PHS
, PCN 118893-00, Product Material, New Alternate Hot Swap Backplane","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
118684-01,"2022/01/31 22:00:00","Select Intel(R) Ethernet Network Adapters:
E810-CQDA2, OCP3.0 I350-T4 & E810-
XXVDA4, and Intel(R) Ethernet Server
Adapters: I350-T4V2 & I350-T2V2, PCN 118684-01, Label, OUI Update, Reason for Revision: Updating Pre-Change/Post Change TA values for MM#'s",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118886-00,"2022/01/31 22:00:00","Intel(R) Server System R2208WFTZSR, Single, PCN 118886-00, Label, Power Supply (PSU) label update",Label,"Machine, Material","Server Boards and Platforms, Server Chassis","Server Boards and Platforms, Server Chassis, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118639-01,"2022/01/31 22:00:00","Select Intel(R) Ethernet Network, Converged and Server Adapters, PCN 118639-01, Label, OUI Update, Reason for Revision: Updating Pre-Change/Post Change TA values for MM#'s 934607, 936714 and, 936716",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
118884-00,"2022/01/27 22:00:00","2.5 inch Tool Less Hot-Swap Drive Carrier FXX25HSCAR3, PCN 118884-00, Product Design, Gasket implementation in 2.5"" Tool-less carrier","Product Design","Material, Method","Server Boards and Platforms, Server Processors","Server Boards and Platforms, Server Processors, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
