id,date,title,key_characteristics,categories,abstract,pdf_url
106407-01,2006-06-12,"SR1425BK1 and SR1425BK1NA, PCN 106407-01, Product Material, Class 2, System board replacement with the C78048-451, Reason for Revision: Posting to PCNS",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/D3F4F433-D5D3-43DA-8CAE-A92407C24C4F/PCN106407-01.pdf
106369-02,2006-06-12,"D101GGC, PCN 106369-02, Product Marking, Update Southbridge chipset marking, Reason for Revision: Correct AA#",Product Marking,Desktop Boards,"Desktop Boards, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/973936A2-6659-4572-9C79-84C1A4B3467D/PCN106369-02.pdf
106411-00,2006-06-09,"SR1475NH1 and SR1475NH1NA, PCN 106411-00, Product Material, Class 2, System Board Replacement with version D13542-402",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/DCD871D8-7C47-4177-AE45-31A5EF4470F3/PCN106411-00.pdf
106410-00,2006-06-09,"Marking Change for 56 Lead TSOP Intel Strataflash(R) Embedded Memory P30 Products, PCN 106410-00, Product Marking",Product Marking,Flash Memory Products,"Flash Memory Products, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/4DE2BB58-1ABD-4453-BF0E-DA3DD4BD550F/PCN106410-00.pdf
105970-01,2006-06-09,"SR1435VP2D2, PCN 105970-01, Product Material, Class 1, Integrated Server System Conversion to Pb-Free Requirements with Exemptions, Reason for Revision: Update implementation date.",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/54C133D3-C321-4CA8-8F75-048AA4BE19A4/PCN105970-01.pdf
106409-00,2006-06-09,"SE7320VP2D2, PCN 106409-00, Product Design, Class 2: Board shipped with new FRUSDR 2.60 (6.6.Q)",Product Design,Server Boards and Platforms,"Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/ABD4FFE8-4B96-4561-A26C-1B37D1523DAB/PCN106409-00.pdf
106322-00,2006-06-09,"Intel NetStructure (R) MPCHC0001 14U Chassis, PCN 106322-00, Product Design, Dutch Harbor Chassis TA Roll for Fan Board ECO 6680609 02",Product Design,"Server Boards and Platforms, Server Chassis, Telecom and Compute","Server Boards and Platforms, Server Chassis, Telecom and Compute, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/0E0D1421-5021-4D20-834D-FDBBCA12F644/PCN106322-00.pdf
106393-00,2006-06-07,"Intel(R)Communications Controller SCD248110QCD MM#832519, PCN 106393-00, Product Discontinuance",Product Discontinuance,Embedded Processors,"Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/69502644-72A5-463C-B4D6-E5D7509D8DA4/PCN106393-00.pdf
106383-00,2006-06-07,"Intel NetStructure(R) D41JCTLSAY, D41JCTLSEUAY Analog Voice Products for Avaya, PCN 106383-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (RoHS) Dire",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/C97A9BA4-08BC-4555-B176-0FBB48F8ECA2/PCN106383-00.pdf
106395-01,2006-06-06,"D102GGC2, PCN 106395-01, Product Design, Add 100pF capacitor, Reason for Revision: Edit content",Product Design,Desktop Boards,"Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/382C51E2-F6A6-43CF-AAE5-A2F259E0FB1E/PCN106395-01.pdf
106397-00,2006-06-06,"Intel NetStructure(R) MPCMM0001Q Chassis Management Module, PCN 106397-00, Product Material, Changes made to Faceplate, Packaging and Mylar Label",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/BDF93CBE-C926-4997-AE35-6DBB742148DD/PCN106397-00.pdf
106394-01,2006-06-06,"D101GGC, PCN 106394-01, Product Design, Add 100pF capacitor, Reason for Revision: Edit content",Product Design,Desktop Boards,"Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/40F53195-C46A-4700-B5A4-6BA867A76D07/PCN106394-01.pdf
106381-00,2006-06-05,"Intel NetStructure(R) DM/V-A Family of Products, PCN 106381-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (RoHS) Directive",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/416C788A-9C62-42B1-AA89-0B8CC51AEAB5/PCN106381-00.pdf
106380-00,2006-06-05,"Intel NetStructure(R) Digital JCT Family of Products, PCN 106380-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (RoHS) Directive",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/58292ADD-46FF-4A21-809D-6B957A5AAE43/PCN106380-00.pdf
106379-00,2006-06-03,"Intel NetStructure(R) Analog Voice Family of Products, PCN 106379-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (RoHS) Directive",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/9F0329E7-EB4F-480A-A5EE-CEFD18C73081/PCN106379-00.pdf
106375-00,2006-06-03,"Intel(R) Dialogic(R) System Release 6.1 for Linux, PCN 106375-00, Product Design, Replace Linux System release with a version which now includes board driver source code",Product Design,Telecom and Compute,"Telecom and Compute, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/A14EA278-F0E0-42D7-9D14-104FA02D5561/PCN106375-00.pdf
106114-00,2006-06-03,"Intel NetStructure(R) DM/V-B Family of products, PCN 106114-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (RoHS) Directive",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/4A9EAB31-2106-462E-9F56-0E76AA7055F6/PCN106114-00.pdf
106386-00,2006-06-02,"Intel NetStructure(R) MPCMM0001 Chassis Management Module, PCN 106386-00, Product Material, Changes made to  Faceplate, Packaging, Inductor and Mylar Label",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/BD3FA858-36A5-4C07-A603-033B1C3079D8/PCN106386-00.pdf
106387-00,2006-06-01,"SHW4URM, PCN 106387-00, Product Design, CLASS 2: Change to the cooling FAN to improve release of the handle",Product Design,Server Boards and Platforms,"Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/604A512E-672F-45C8-B49E-F013DD4F80FF/PCN106387-00.pdf
106195-01,2006-06-01,"SR4850HW4 Cooling FAN, PCN 106195-01, Product Design, CLASS 1: FHW4UFAN Convert to RoHS and change to the cooling FAN to improve release of the handle., Reason for Revision: Add MM, TA and Assembly numbers.
Add RoHS information.
Change to Class 1.",Product Design,Server Boards and Platforms,"Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/825420DC-5AB1-435A-ABB0-43F5C67D4DB0/PCN106195-01.pdf
106385-00,2006-06-01,"Intel(R) Network Processor IXP28x0 Conversion to IXP28x5.A1 Stepping Material, PCN 106385-00, Order Code",Order Code,Embedded Processors,"Embedded Processors, Order Code, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/8AB7D79A-4095-432D-89D7-414FB5531554/PCN106385-00.pdf
106384-00,2006-06-01,"Intel(R) Network Processor IXP28X5 A0 to A1 Stepping Metal Layer, PCN 106384-00, Order Code",Order Code,Embedded Processors,"Embedded Processors, Order Code, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/BD0F7F0D-CDC1-4352-8948-DB8A35C5D560/PCN106384-00.pdf
106324-00,2006-06-01,"Dual-Core Intel(r) Xeon(r) processor LV 2 GHz and 1.66 GHz, PCN 106324-00, Product Design, C-0 stepping to D-0 stepping change",Product Design,Server Processors,"Server Processors, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/89412B1A-C4F3-4256-9CA6-0AE1A4135F70/PCN106324-00.pdf
106354-01,2006-05-31,"Intel(r) 854 Chipset, PCN 106354-01, Product Discontinuance, Reason for Revision: Clarification that the Pb-Free Version of this Product is NOT Impacted by this PCN",Product Discontinuance,Chipsets,"Chipsets, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/00B91BC0-6865-415A-8245-8E9F4E71CC21/PCN106354-01.pdf
106047-02,2006-05-30,"SC5300, PCN 106047-02, Product Material, CLASS 1, SC5300 RoHS Compliance with Exceptions, Reason for Revision: Update implementation date, adding change",Product Material,Server Chassis,"Server Chassis, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/5AF3E2A1-2024-4683-8394-9E9830C73AD4/PCN106047-02.pdf
105914-02,2006-05-30,"SC5300AF2, PCN 105914-02, Product Design, CLASS 2, CUT IN Alief -704 BOARD, Reason for Revision: Update implementation date and additional changes",Product Design,Server Chassis,"Server Chassis, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/9CC750F2-B9B3-4ED6-8446-DECB471681F2/PCN105914-02.pdf
106378-00,2006-05-30,"SC5300, PCN 106378-00, Product Material, CLASS 1, AXX6SASDBOEM RoHS Compliance with Exceptions",Product Material,Server Chassis,"Server Chassis, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/759F69C4-3DE4-4A79-B715-4389C40222DE/PCN106378-00.pdf
106366-00,2006-05-29,"MPCBL0020, PCN 106366-00, Product Design, Incorporated IPMC release 1.19.1",Product Design,Telecom and Compute,"Telecom and Compute, Product Design, Software Change.",https://QDMS.intel.com/dm/i.aspx/D8C33D38-414C-4C68-890A-E86A474FDD02/PCN106366-00.pdf
106264-00,2006-05-29,"Intel NetStructure(R) SPCI2S and SPCI4 Boards and SS7SBPCIxxxxx Software License Buttons, PCN 106264-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/07AD614E-B091-4A44-810F-F066CDADEE30/PCN106264-00.pdf
106274-00,2006-05-28,"Intel NetStructure(R) SS7HDC Boards, SS7HDP Boards and SS7SBHDFBx Software License Buttons, PCN 106274-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/D264867E-23EA-4290-943F-F69DF74FFAD8/PCN106274-00.pdf
106256-00,2006-05-28,"Intel NetStructure(R) SS7G21 and SS7G22 Signaling Server Family of products, PCN 106256-00, Product Material, Product migration to comply with the Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment (RoHS) Directi",Product Material,Telecom and Compute,"Telecom and Compute, Product Material, Please determine your remaining demand for these products and place your last product orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/0F1BBE51-E8F3-4BCB-AC31-5C4D38DDB966/PCN106256-00.pdf
106370-00,2006-05-26,"Intel(R) Optical Transceiver, TXN174310850,, PCN 106370-00, Product Material, Pb-Free Conversion of Components, Top Assembly Number Change",Product Material,Networking Products,"Networking Products, Product Material, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/D476CE6A-DCBA-4CA5-8419-2EF9D8417D35/PCN106370-00.pdf
106363-00,2006-05-26,"Intel NetStructure(R) MPCBL0040 Single Board Computer, PCN 106363-00, Transport Media, Plastic protective caps installed on corners of front panel to prevent ESD static bag tearing, Packaging",Transport Media,"Server Boards and Platforms, Telecom and Compute","Server Boards and Platforms, Telecom and Compute, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/D5AF0BE5-810E-4D07-9994-186E89789D7E/PCN106363-00.pdf
106251-01,2006-05-25,"SRCU42E, PCN 106251-01, Product Material, CLASS 1: Conversion to Pb-Free Requirements, Update Firmware to 514P, Update Packaging and Collateral (CD and Attention Document), Reason for Revision: Change in Firmware Version to 514P",Product Material,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/D7B210CF-DBCB-45A6-B664-485249524CD7/PCN106251-01.pdf
106250-01,2006-05-25,"SRCU42X, PCN 106250-01, Product Material, CLASS 1: Conversion to Pb-Free Requirements, Update Firmware to 414E, Update Packaging and Collateral (CD and Attention Document), Reason for Revision: Change in Firmware Version to 414E",Product Material,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/9CBB8F73-A8C0-4D44-890D-94266114FBEF/PCN106250-01.pdf
106252-01,2006-05-25,"SRCZCRX, PCN 106252-01, Product Material, CLASS 1: Conversion to Pb-Free Requirements, Update Firmware to 414E, Update Packaging and Collateral (CD and Attention Document), Reason for Revision: Change in Firmware Version to 414E",Product Material,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/24557667-D864-44F8-B978-5A2930897761/PCN106252-01.pdf
106249-01,2006-05-25,"SRCS28X, SC89056, PCN 106249-01, Product Material, CLASS 1: Conversion to Pb-Free Requirements, Update Firmware to 814D, Update Packaging and Collateral (CD and Attention Document), Reason for Revision: Change in Firmware Version to 814D",Product Material,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/2BF77F01-6DB3-4D0F-9FF3-B4AF89C94CF0/PCN106249-01.pdf
106340-00,2006-05-25,"Intel KU82596 High-Performance 32-Bit Local Area Network Coprocessor, PCN 106340-00, Product Discontinuance, End of Life",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/233C79BA-FA9A-409A-8883-7C320F7F6BAA/PCN106340-00.pdf
106338-00,2006-05-25,"Intel RC82562EP 10/100 Mbps Platform LAN Controllers, leaded Kinnereth M, MM#832361 & MM#836312, PCN 106338-00, Product Discontinuance, End of Life",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/2C7699B2-E5A1-43A6-BE49-9A3339ACEC76/PCN106338-00.pdf
106317-00,2006-05-25,"SRCS16, PCN 106317-00, Documentation, CLASS 2: Update Firmware to 713R, Update Packaging and Collateral (CD and Attention Document)",Documentation,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Documentation, Software Change.",https://QDMS.intel.com/dm/i.aspx/A66BC7B2-3E22-41DF-A47E-A2977BC76215/PCN106317-00.pdf
106368-00,2006-05-24,"SC5300, PCN 106368-00, Transport Media, CLASS 2, EPE CUSHION MODIFICATION",Transport Media,Server Chassis,"Server Chassis, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/46284909-CF4E-499D-8C50-1097D944FA23/PCN106368-00.pdf
106365-00,2006-05-24,"D865GSA, PCN 106365-00, Product Design, BIOS Change",Product Design,Desktop Boards,"Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/B023A797-46B7-409A-BC35-360801C431CF/PCN106365-00.pdf
106216-01,2006-05-24,"SR4850HW4M and SR6850HW4M Cache VRM, PCN 106216-01, Product Design, CLASS 1: Change to Cache VRM, convert to RoHS and Production Server Support, Reason for Revision: Add support statement for non RoHS VRM.",Product Design,Server Boards and Platforms,"Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/86FB15C5-0F6C-4F4B-B00D-7B2F81D4A97A/PCN106216-01.pdf
106361-00,2006-05-23,"SSR212MA, SSR212MANA, FXSCHASSIS, FXSCAGE, FXSDOM, FXSFANTRAY, PCN 106361-00, Product Material, CLASS 1, ROHS UPDATE",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Discontinuance, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/7E32AB2A-22D1-46C2-A5EC-8F6F2BD45D0B/PCN106361-00.pdf
106358-00,2006-05-23,"Intel(R) I/O Processors, IOP331, IOP333, PCN 106358-00, Order Code, C-1/D-0 to D-1 Stepping Conversion for IOP331, A0-A1 Stepping Conversion for IOP333",Order Code,Server Processors,"Server Processors, Order Code, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/33C4E5CA-D7B9-48F0-8745-4F7492256097/PCN106358-00.pdf
106112-01,2006-05-22,"Intel StrataFlash(R) Cellular Memory Stacked 512M/128P Solder Ball Alloy Change and RAM Manufacturing Site Proliferation, PCN 106112-01, Product Material, Reason for Revision: Change to sample availability  & product availability",Product Material,Flash Memory Products,"Flash Memory Products, Product Material, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/25075D3D-3F5B-48C2-8B50-7CA04273265C/PCN106112-01.pdf
106343-00,2006-05-22,"SC5400, PCN 106343-00, Product Marking, Two possible PBAs on SC5400 830W power supplies",Product Marking,Server Chassis,"Server Chassis, Product Marking, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/863A9E42-B1CD-495F-9D4C-E61874DED11E/PCN106343-00.pdf
106342-00,2006-05-19,"SE7210TP1, PCN 106342-00, Label, Class 2: Intel 3.0 conversion updates",Label,Server Boards and Platforms,"Server Boards and Platforms, Label, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/D58BCEB4-F264-4A97-9FC3-9F23527EA443/PCN106342-00.pdf
106244-00,2006-05-19,"Intel(R) WB1510 SDH/SONET 2 x STM-4/STS-12 or STM-1/STS-3 Framer, PCN 106244-00, Product Discontinuance",Product Discontinuance,Networking Products,"Networking Products, Product Discontinuance, Date to implement this change is a non-standard compressed timeline; please see PCN details for further information.",https://QDMS.intel.com/dm/i.aspx/31EAFE7B-7F85-4F02-8541-DC91143D07DF/PCN106244-00.pdf
106350-01,2006-05-18,"D101GGC, PCN 106350-01, Product Material, Northbridge chipset revision change, Reason for Revision: Correct PCN title",Product Material,Desktop Boards,"Desktop Boards, Product Material, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/6BBB1B80-9C33-4A78-A1FF-E81CF8AD8541/PCN106350-01.pdf
106171-01,2006-05-18,"AXXRSBBU2, PCN 106171-01, Product Discontinuance, End of Life Announcement, Reason for Revision: Changed the AXXRSBBU3 Replacement Part Number.",Product Discontinuance,Intel® Server RAID Controllers,"Intel(R) Server RAID Controllers, Product Discontinuance, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/9E847E64-8C9A-48DD-A270-37F2CD87EB54/PCN106171-01.pdf
106278-00,2006-05-18,"SS7 Software License Buttons SS7SBPCIxxx, PCN 106278-00, Product Discontinuance, Product Discontinuance of transaction based and NUP protocol license buttons caused by consolidation of license button offerings",Product Discontinuance,Telecom and Compute,"Telecom and Compute, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/ACC10C27-8FDE-4633-8692-73CCA55AF194/PCN106278-00.pdf
106255-00,2006-05-17,"SS7 Cables SS7DKL16, SS7DKL25, PCN 106255-00, Product Discontinuance, Product Discontinuance caused by low sales volumes and no plans to convert to RoHS",Product Discontinuance,Telecom and Compute,"Telecom and Compute, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/E52AE80F-37CF-49BB-B79C-30F244F01C48/PCN106255-00.pdf
106007-02,2006-05-16,"SR4850HW4 and SR6850HW4, PCN 106007-02, Product Material, CLASS 1: Spares changing to RoHS compliance, Reason for Revision: Remove the following product codes (already RoHS compliant): FW4UCPSCSI, FWH4UFPSATA, FHW6UCPSCSI and FHW6UFPSATA.
Change post cha",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/5AC31C34-386A-4386-8EE4-9DC9E439ED22/PCN106007-02.pdf
106332-00,2006-05-15,"D102GGC2, PCN 106332-00, Product Design, Update BIOS, remove product ID label, update EICD",Product Design,Desktop Boards,"Desktop Boards, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/D78CAEF1-F18A-45CE-8DB7-583EC9961AB9/PCN106332-00.pdf
106303-00,2006-05-12,"Intel (R) NetStructure (R) MPCHC0001 14U Chassis, PCN 106303-00, Product Design, PEM, Fan Tray, and Packaging changes",Product Design,"Server Boards and Platforms, Server Chassis, Telecom and Compute","Server Boards and Platforms, Server Chassis, Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/046D69F8-7708-48AF-9951-1A1B47A3D5B7/PCN106303-00.pdf
106323-00,2006-05-11,"SR1425BK1, SR1475NH1 and SR1475, PCN 106323-00, Product Material, Class 2, Shipping container change",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/95650ACE-02C3-481B-9E8D-DA3429E40DD4/PCN106323-00.pdf
106305-00,2006-05-09,"SR1425BK1 and SR1425BK1NA, PCN 106305-00, Product Material, Class 2, System board replacement with the C78048-450",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/81F0A429-B853-4E41-AB05-46EAB612BCB0/PCN106305-00.pdf
106298-00,2006-05-09,"Intel(R) Pentium(R) 4 Processors 662 and 672 on 90 nm process in the 775-land LGA package, PCN 106298-00, Product Discontinuance, Product Discontinuance",Product Discontinuance,Desktop Processors,"Desktop Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN.",https://QDMS.intel.com/dm/i.aspx/990A0C22-C9C9-46EB-9B69-F3024C3E983A/PCN106298-00.pdf
106296-00,2006-05-09,"SR870BH2, PCN 106296-00, Product Material, Class 2: New mPGA700 CPU Socket",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/59D1A63D-10FC-4A9D-BD61-FAF1B8E0E467/PCN106296-00.pdf
106295-00,2006-05-09,"SR870BN4, PCN 106295-00, Product Material, Class 2: New mPGA700 CPU Socket",Product Material,Server Boards and Platforms,"Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/D0BA3831-352B-461B-8544-5D55A89870B4/PCN106295-00.pdf
106293-00,2006-05-09,"Intel NetStructure MPCBL0030S03Q Single Board Computer, PCN 106293-00, Product Design, Rework changes as noted",Product Design,"Server Boards and Platforms, Telecom and Compute","Server Boards and Platforms, Telecom and Compute, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/6080E991-D34A-4440-94BA-0B0794323D6B/PCN106293-00.pdf
106062-00,2006-05-09,"Intel (R) NetStructure (R) MPCHC0001 14U Chassis and MPFIL0001 Filter Tray Spare Part, PCN 106062-00, Product Material, RoHS Compliant version filter tray cable assembly",Product Material,Telecom and Compute,"Telecom Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/80C53F19-519E-47D7-A4CE-AB7A4D57F066/PCN106062-00.pdf
106284-00,2006-05-08,"Intel NetStructure MPCBL0030 Single Board Computer, PCN 106284-00, Product Design, Change to Fabric Ethernet routing, heat sink attachment",Product Design,"Server Boards and Platforms, Telecom and Compute","Server Boards and Platforms, Telecom and Compute, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable.",https://QDMS.intel.com/dm/i.aspx/0608ED97-1118-4D01-B879-A02AB8551D95/PCN106284-00.pdf
106282-00,2006-05-08,"Intel NetStructure MPCBL0030 Single Board Computer, PCN 106282-00, Product Design, Change to heatsink",Product Design,"Server Boards and Platforms, Telecom and Compute","Server Boards and Platforms, Telecom and Compute, Product Design, Intel anticipates no impact to customers, see PCN detail for further information.",https://QDMS.intel.com/dm/i.aspx/EAC8F422-04D0-4F96-9FF1-703E84EA2E3C/PCN106282-00.pdf
105908-01,2006-05-04,"SC5300, PCN 105908-01, Product Design, CLASS 2, WEEE MARK, REMOVE AUXILLARY WEEE LABEL AND ADD WEEE MARK TO THE EXISTING SAFETY LABELS, Reason for Revision: Updating TAs and MMs",Product Design,Server Chassis,"Server Chassis, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/4DBFF2D2-344D-48A4-8A5E-6DEC3C24802F/PCN105908-01.pdf
106130-01,2006-05-04,"SC5300, PCN 106130-01, Product Design, CLASS 2, IMPROVE 120MM FANHOLDER RETENTION IN SC5300 CHASSIS, Reason for Revision: postchange MM update",Product Design,Server Chassis,"Server Chassis, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/5E0547F4-137A-4C07-9ADE-918C434818BE/PCN106130-01.pdf
105854-01,2006-05-04,"SC5300, PCN 105854-01, Product Design, CLASS 2, SHORTEN INBOARD FAN DUCT LEG, Reason for Revision: Updating TAs",Product Design,Server Chassis,"Server Chassis, Product Design, Customers to place future orders using new order code, see details in PCN.",https://QDMS.intel.com/dm/i.aspx/024E98EF-336C-4E28-BCFE-4C0A93CE1CB2/PCN105854-01.pdf
